fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality
8.4,0.665,0.61,0.1119999999999999,95.0,0.997,0.54,9.1,5
12.7,0.6,0.65,0.063,25.0,0.9997,0.57,9.9,5
12.0,0.37,0.76,0.066,38.0,1.0004,0.6,13.0,7
6.6,0.735,0.02,0.122,124.0,0.9994,0.53,9.9,5
11.5,0.59,0.59,0.087,49.0,0.9988,0.65,11.0,6
11.5,0.59,0.59,0.087,49.0,0.9988,0.65,11.0,6
8.7,0.765,0.22,0.064,42.0,0.9963,0.55,9.4,5
6.6,0.735,0.02,0.122,124.0,0.9994,0.53,9.9,5
7.7,0.26,0.3,0.059,38.0,0.9949,0.47,10.8,6
12.2,0.48,0.54,0.085,64.0,1.0,0.61,10.5,6
11.4,0.6,0.49,0.085,41.0,0.9994,0.63,10.5,6
7.7,0.69,0.05,0.075,27.0,0.9974,0.61,9.1,5
8.7,0.31,0.46,0.059,25.0,0.9966,0.76,10.1,6
9.8,0.44,0.47,0.063,28.0,0.9981,0.65,10.8,6
12.0,0.39,0.66,0.093,30.0,0.9996,0.63,10.8,7
10.4,0.34,0.58,0.174,16.0,0.997,0.7,11.3,6
12.5,0.46,0.49,0.07,49.0,0.9981,0.57,9.6,4
9.0,0.43,0.34,0.08,86.0,0.9987,0.62,9.5,6
9.1,0.45,0.35,0.08,78.0,0.9987,0.62,9.5,5
7.1,0.735,0.16,0.1,77.0,0.9966,0.64,9.3,5
9.9,0.4,0.53,0.0969999999999999,19.0,0.9986,0.82,11.7,7
8.8,0.52,0.34,0.087,122.0,0.9982,0.61,9.5,5
8.6,0.725,0.24,0.1169999999999999,134.0,1.0014,1.07,9.3,5
10.6,0.48,0.64,0.111,20.0,0.997,0.66,11.7,6
7.0,0.58,0.12,0.091,124.0,0.9956,0.48,10.5,5
11.9,0.38,0.51,0.121,20.0,0.9996,0.76,10.4,6
6.8,0.77,0.0,0.066,52.0,0.9976,0.68,9.9,5
9.5,0.56,0.33,0.089,67.0,0.9972,0.73,11.8,7
6.6,0.84,0.03,0.059,48.0,0.9952,0.56,12.3,7
7.7,0.96,0.2,0.047,60.0,0.9955,0.44,10.9,5
10.5,0.24,0.47,0.066,24.0,0.9978,0.9,11.0,7
7.7,0.96,0.2,0.047,60.0,0.9955,0.44,10.9,5
6.6,0.84,0.03,0.059,48.0,0.9952,0.56,12.3,7
6.4,0.67,0.08,0.045,48.0,0.9949,0.49,11.4,6
9.5,0.78,0.22,0.077,32.0,0.9988,0.56,10.6,6
9.1,0.52,0.33,0.07,30.0,0.9978,0.6,9.3,5
12.8,0.84,0.63,0.088,35.0,0.9997,0.6,10.4,6
10.5,0.24,0.47,0.066,24.0,0.9978,0.9,11.0,7
7.8,0.55,0.35,0.074,66.0,0.9974,0.56,9.2,5
11.9,0.37,0.69,0.078,24.0,0.9958,0.65,12.8,6
12.3,0.39,0.63,0.091,18.0,1.0004,0.49,9.5,5
10.4,0.41,0.55,0.076,54.0,0.9996,0.89,9.9,6
12.3,0.39,0.63,0.091,18.0,1.0004,0.49,9.5,5
8.0,0.67,0.3,0.06,62.0,0.9958,0.56,10.2,6
11.1,0.45,0.73,0.066,22.0,0.9986,0.66,11.2,6
10.4,0.41,0.55,0.076,54.0,0.9996,0.89,9.9,6
7.0,0.62,0.18,0.062,50.0,0.9951,0.6,9.3,5
12.6,0.31,0.72,0.072,29.0,0.9987,0.82,9.8,8
11.9,0.4,0.65,0.068,27.0,0.9988,0.68,11.3,6
15.6,0.685,0.76,0.1,43.0,1.0032,0.68,11.2,7
10.0,0.44,0.49,0.077,19.0,0.9963,0.63,11.6,7
5.3,0.57,0.01,0.054,27.0,0.9934,0.84,12.5,7
9.5,0.735,0.1,0.079,31.0,0.9986,0.56,10.1,6
12.5,0.38,0.6,0.081,72.0,0.9996,0.73,10.5,5
9.3,0.48,0.29,0.127,16.0,0.9968,0.72,11.2,5
8.6,0.53,0.22,0.1,27.0,0.9967,0.56,10.2,6
11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8,6
11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8,6
8.4,0.37,0.53,0.413,26.0,0.9979,1.06,9.1,6
6.8,0.56,0.03,0.084,35.0,0.9968,0.63,10.0,6
10.4,0.33,0.63,0.084,22.0,0.9998,0.74,11.2,7
7.0,0.23,0.4,0.063,67.0,0.9952,0.63,11.1,5
11.3,0.62,0.67,0.086,19.0,0.9988,0.69,13.4,8
8.9,0.59,0.39,0.095,22.0,0.9986,0.58,10.3,5
9.2,0.63,0.21,0.0969999999999999,65.0,0.9988,0.58,9.6,5
10.4,0.33,0.63,0.084,22.0,0.9998,0.74,11.2,7
11.6,0.58,0.66,0.074,47.0,1.0008,0.57,9.0,3
9.2,0.43,0.52,0.083,23.0,0.9976,0.61,11.3,6
8.3,0.615,0.22,0.087,19.0,0.9982,0.61,9.3,5
11.0,0.26,0.68,0.085,25.0,0.997,0.61,11.8,5
8.1,0.66,0.7,0.098,129.0,0.9972,0.53,9.0,5
11.5,0.315,0.54,0.084,15.0,0.9987,0.7,9.2,6
10.0,0.29,0.4,0.098,26.0,1.0006,0.91,9.7,5
10.3,0.5,0.42,0.069,51.0,0.9982,0.72,11.5,6
8.8,0.46,0.45,0.065,18.0,0.9947,0.79,14.0,6
11.4,0.36,0.69,0.09,21.0,1.0,0.62,9.2,6
8.7,0.82,0.02,0.07,48.0,0.9952,0.58,9.8,5
13.0,0.32,0.65,0.093,47.0,0.9996,0.61,10.6,5
9.6,0.54,0.42,0.081,52.0,0.997,0.71,11.4,6
12.5,0.37,0.55,0.083,68.0,0.9995,0.82,10.4,6
9.9,0.35,0.55,0.062,14.0,0.9971,0.79,10.6,5
10.5,0.28,0.51,0.08,24.0,0.9982,0.89,9.4,6
9.6,0.68,0.24,0.087,28.0,0.9988,0.6,10.2,5
9.3,0.27,0.41,0.091,16.0,0.998,0.7,9.7,5
10.4,0.24,0.49,0.075,20.0,0.9977,1.06,11.0,6
9.6,0.68,0.24,0.087,28.0,0.9988,0.6,10.2,5
9.4,0.685,0.11,0.077,31.0,0.9984,0.7,10.1,6
10.6,0.28,0.39,0.069,23.0,1.0026,0.66,9.2,5
9.4,0.3,0.56,0.08,17.0,0.9964,0.92,11.7,8
10.6,0.36,0.59,0.152,18.0,0.9986,1.05,9.4,5
10.6,0.36,0.6,0.152,18.0,0.9986,1.06,9.4,5
10.6,0.44,0.68,0.114,24.0,0.997,0.66,13.4,6
10.2,0.67,0.39,0.054,17.0,0.9976,0.47,10.0,5
10.2,0.67,0.39,0.054,17.0,0.9976,0.47,10.0,5
10.2,0.645,0.36,0.053,14.0,0.9982,0.42,10.0,6
11.6,0.32,0.55,0.081,67.0,1.0002,0.92,10.8,7
9.3,0.39,0.4,0.073,26.0,0.9984,0.75,10.2,6
9.3,0.775,0.27,0.078,56.0,0.9984,0.67,10.6,6
9.2,0.41,0.5,0.055,25.0,0.9952,0.79,13.3,7
8.9,0.4,0.51,0.052,27.0,0.995,0.9,13.4,7
8.7,0.69,0.31,0.086,81.0,1.0002,0.74,11.6,6
6.5,0.39,0.23,0.051,91.0,0.9952,0.55,12.1,6
10.7,0.35,0.53,0.07,16.0,0.9972,0.65,11.0,8
7.8,0.52,0.25,0.081,38.0,0.9984,0.65,9.0,6
7.2,0.34,0.32,0.09,113.0,0.9966,0.79,11.1,5
10.7,0.35,0.53,0.07,16.0,0.9972,0.65,11.0,8
8.7,0.69,0.31,0.086,81.0,1.0002,0.74,11.6,6
7.8,0.52,0.25,0.081,38.0,0.9984,0.65,9.0,6
10.4,0.44,0.73,0.074,76.0,0.999,0.85,12.0,7
10.4,0.44,0.73,0.074,76.0,0.999,0.85,12.0,7
10.5,0.26,0.47,0.078,24.0,0.9976,1.04,10.9,7
10.5,0.24,0.42,0.077,22.0,0.9976,1.05,10.8,7
10.2,0.49,0.63,0.072,26.0,0.9968,0.78,12.5,7
10.4,0.24,0.46,0.075,21.0,0.9976,1.02,10.8,7
11.2,0.67,0.55,0.084,13.0,1.0,0.71,9.5,6
10.0,0.59,0.31,0.09,62.0,0.9994,0.63,10.2,6
13.3,0.29,0.75,0.084,43.0,0.9986,0.68,11.4,7
12.4,0.42,0.49,0.073,43.0,0.9978,0.61,9.5,5
10.0,0.59,0.31,0.09,62.0,0.9994,0.63,10.2,6
10.7,0.4,0.48,0.125,49.0,0.998,0.81,9.7,6
10.5,0.51,0.64,0.107,15.0,0.9973,0.66,11.8,7
10.5,0.51,0.64,0.107,15.0,0.9973,0.66,11.8,7
8.5,0.655,0.49,0.122,151.0,1.001,1.14,9.3,5
12.5,0.6,0.49,0.1,14.0,1.001,0.74,11.9,6
10.4,0.61,0.49,0.2,16.0,0.9994,0.63,8.4,3
10.9,0.21,0.49,0.088,32.0,0.9972,0.68,11.7,6
7.3,0.365,0.49,0.088,106.0,0.9966,0.78,11.0,5
9.8,0.25,0.49,0.088,33.0,0.9982,0.9,10.0,6
7.6,0.41,0.49,0.088,43.0,0.998,0.64,9.1,5
8.2,0.39,0.49,0.099,133.0,0.9979,0.99,9.8,5
9.3,0.4,0.49,0.085,142.0,0.9978,0.55,9.4,5
9.2,0.43,0.49,0.086,116.0,0.9976,0.64,9.5,5
10.4,0.64,0.24,0.105,53.0,0.9998,0.67,9.9,5
7.3,0.365,0.49,0.088,106.0,0.9966,0.78,11.0,5
7.0,0.38,0.49,0.0969999999999999,85.0,0.9962,0.77,11.4,6
8.2,0.42,0.49,0.084,55.0,0.9988,0.75,8.7,6
9.9,0.63,0.24,0.077,33.0,0.9974,0.57,9.4,5
9.1,0.22,0.24,0.078,28.0,0.999,0.87,10.3,6
11.9,0.38,0.49,0.098,42.0,1.0004,0.61,10.3,5
11.9,0.38,0.49,0.098,42.0,1.0004,0.61,10.3,5
10.3,0.27,0.24,0.072,33.0,0.9956,0.66,12.8,6
10.0,0.48,0.24,0.102,32.0,1.0,0.56,10.0,6
9.1,0.22,0.24,0.078,28.0,0.999,0.87,10.3,6
9.9,0.63,0.24,0.077,33.0,0.9974,0.57,9.4,5
8.1,0.825,0.24,0.084,13.0,0.9972,0.77,10.7,6
12.9,0.35,0.49,0.066,35.0,1.0014,0.66,12.0,7
11.2,0.5,0.74,0.1,17.0,0.9996,0.62,11.2,5
9.2,0.59,0.24,0.1009999999999999,47.0,0.9988,0.67,9.6,5
9.5,0.46,0.49,0.064,17.0,0.9988,0.73,11.0,6
9.3,0.715,0.24,0.07,20.0,0.9966,0.59,9.9,5
11.2,0.66,0.24,0.085,53.0,0.9993,0.72,11.0,6
14.3,0.31,0.74,0.075,15.0,1.0008,0.79,8.4,6
9.1,0.47,0.49,0.094,106.0,0.9982,0.59,9.1,5
7.5,0.55,0.24,0.078,28.0,0.9983,0.78,9.5,6
10.6,0.31,0.49,0.067,21.0,0.9987,0.86,10.7,6
12.4,0.35,0.49,0.079,69.0,0.9994,0.75,10.4,6
9.0,0.53,0.49,0.171,25.0,0.9975,0.61,9.4,6
6.8,0.51,0.01,0.074,25.0,0.9958,0.56,9.5,6
9.4,0.43,0.24,0.092,45.0,0.998,0.73,10.0,6
9.5,0.46,0.24,0.092,44.0,0.998,0.74,10.0,6
5.0,1.04,0.24,0.05,96.0,0.9934,0.62,11.5,5
15.5,0.645,0.49,0.095,23.0,1.00315,0.74,11.1,5
15.5,0.645,0.49,0.095,23.0,1.00315,0.74,11.1,5
10.9,0.53,0.49,0.118,17.0,1.0002,0.56,11.7,6
15.6,0.645,0.49,0.095,23.0,1.00315,0.74,11.1,5
10.9,0.53,0.49,0.118,17.0,1.0002,0.56,11.7,6
13.0,0.47,0.49,0.085,47.0,1.0021,0.68,12.7,6
12.7,0.6,0.49,0.075,19.0,0.9994,0.57,11.4,5
9.0,0.44,0.49,0.078,121.0,0.9978,0.58,9.2,5
9.0,0.54,0.49,0.094,110.0,0.9982,0.61,9.2,5
7.6,0.29,0.49,0.092,60.0,0.9971,0.61,10.1,6
13.0,0.47,0.49,0.085,47.0,1.0021,0.68,12.7,6
12.7,0.6,0.49,0.075,19.0,0.9994,0.57,11.4,5
8.7,0.7,0.24,0.226,15.0,0.9991,0.6,9.0,6
8.7,0.7,0.24,0.226,15.0,0.9991,0.6,9.0,6
9.8,0.5,0.49,0.25,20.0,0.999,0.79,10.7,6
6.2,0.36,0.24,0.095,42.0,0.9946,0.57,11.7,6
11.5,0.35,0.49,0.07,37.0,1.0003,0.91,11.0,6
6.2,0.36,0.24,0.095,42.0,0.9946,0.57,11.7,6
10.2,0.24,0.49,0.075,28.0,0.9978,0.61,10.4,5
10.5,0.59,0.49,0.07,47.0,0.9991,0.56,9.6,4
10.6,0.34,0.49,0.078,78.0,0.9992,0.7,10.0,6
12.3,0.27,0.49,0.079,46.0,0.9993,0.8,10.2,6
9.9,0.5,0.24,0.103,14.0,0.9978,0.52,10.0,4
8.8,0.44,0.49,0.083,111.0,0.9982,0.6,9.5,5
8.8,0.47,0.49,0.085,110.0,0.9982,0.6,9.8,5
10.6,0.31,0.49,0.063,40.0,0.9976,0.51,9.8,6
12.3,0.5,0.49,0.089,14.0,1.0002,0.44,9.6,5
12.3,0.5,0.49,0.089,14.0,1.0002,0.44,9.6,5
11.7,0.49,0.49,0.083,15.0,1.0,0.43,9.2,5
12.0,0.28,0.49,0.074,21.0,0.9976,0.66,9.9,7
11.8,0.33,0.49,0.093,80.0,1.0002,0.76,10.7,7
7.6,0.51,0.24,0.091,38.0,0.998,0.66,9.6,6
11.1,0.31,0.49,0.094,47.0,0.9986,1.02,10.6,7
7.3,0.73,0.24,0.108,102.0,0.9967,0.59,9.3,5
5.0,0.42,0.24,0.06,50.0,0.9917,0.74,14.0,8
10.2,0.29,0.49,0.059,13.0,0.9976,0.74,10.5,7
9.0,0.45,0.49,0.084,75.0,0.9987,0.57,9.7,5
6.6,0.39,0.49,0.07,149.0,0.9922,0.5,11.5,6
9.0,0.45,0.49,0.084,75.0,0.9987,0.57,9.7,5
9.9,0.49,0.58,0.094,43.0,1.0004,0.58,9.0,5
7.9,0.72,0.17,0.096,38.0,0.9978,0.53,9.5,5
8.9,0.595,0.41,0.086,109.0,0.9998,0.57,9.3,5
12.4,0.4,0.51,0.059,24.0,0.9994,0.6,9.3,6
11.9,0.58,0.58,0.071,18.0,0.998,0.63,10.0,6
8.5,0.585,0.18,0.078,30.0,0.9967,0.48,9.8,6
12.7,0.59,0.45,0.0819999999999999,22.0,1.0,0.7,9.3,6
8.2,0.915,0.27,0.088,23.0,0.9962,0.47,10.0,4
13.2,0.46,0.52,0.071,35.0,1.0006,0.56,9.0,6
7.7,0.835,0.0,0.081,14.0,0.9975,0.52,9.3,5
13.2,0.46,0.52,0.071,35.0,1.0006,0.56,9.0,6
8.3,0.58,0.13,0.096,63.0,0.9984,0.62,9.1,6
8.3,0.6,0.13,0.085,24.0,0.9984,0.59,9.2,6
9.4,0.41,0.48,0.072,20.0,0.9973,0.79,12.2,7
8.8,0.48,0.41,0.092,52.0,0.9982,0.53,10.5,6
10.1,0.65,0.37,0.11,65.0,1.0026,0.64,10.4,6
6.3,0.36,0.19,0.075,39.0,0.9956,0.52,12.7,6
8.8,0.24,0.54,0.083,57.0,0.9983,0.54,9.2,5
13.2,0.38,0.55,0.081,16.0,1.0006,0.54,9.4,5
7.5,0.64,0.0,0.077,29.0,0.9965,0.6,10.0,6
8.2,0.39,0.38,0.0579999999999999,29.0,0.9962,0.74,9.8,5
9.2,0.755,0.18,0.148,103.0,0.9969,1.36,10.2,6
9.6,0.6,0.5,0.079,71.0,0.9997,0.57,9.7,5
9.6,0.6,0.5,0.079,71.0,0.9997,0.57,9.7,5
11.5,0.31,0.51,0.079,28.0,0.9982,0.93,9.8,6
11.4,0.46,0.5,0.122,17.0,1.0006,0.7,10.2,5
11.3,0.37,0.41,0.088,16.0,0.9988,0.8,9.3,5
8.3,0.54,0.24,0.076,112.0,0.9976,0.61,9.4,5
8.2,0.56,0.23,0.078,104.0,0.9976,0.62,9.4,5
10.0,0.58,0.22,0.08,32.0,0.9974,0.55,9.5,5
7.9,0.51,0.25,0.077,45.0,0.9974,0.96,12.1,6
6.8,0.69,0.0,0.124,58.0,0.9997,0.72,10.2,5
6.8,0.69,0.0,0.124,58.0,0.9997,0.72,10.2,5
8.8,0.6,0.29,0.098,15.0,0.9988,0.49,9.1,5
8.8,0.6,0.29,0.098,15.0,0.9988,0.49,9.1,5
8.7,0.54,0.26,0.0969999999999999,31.0,0.9976,0.6,9.3,6
7.6,0.685,0.23,0.111,84.0,0.9964,0.61,9.3,5
8.7,0.54,0.26,0.0969999999999999,31.0,0.9976,0.6,9.3,6
10.4,0.28,0.54,0.105,19.0,0.9988,0.63,9.5,5
7.6,0.41,0.14,0.087,43.0,0.9964,0.57,10.5,6
10.1,0.935,0.22,0.105,86.0,1.001,0.64,11.3,4
7.9,0.35,0.21,0.073,102.0,0.9964,0.58,9.5,5
8.7,0.84,0.0,0.065,33.0,0.9954,0.55,9.7,5
9.6,0.88,0.28,0.086,147.0,0.9979,0.53,9.4,5
9.5,0.885,0.27,0.084,145.0,0.9978,0.53,9.4,5
7.7,0.915,0.12,0.143,23.0,0.9964,0.65,10.2,7
8.9,0.29,0.35,0.067,57.0,0.997,1.36,10.3,6
9.9,0.54,0.45,0.071,40.0,0.9991,0.62,9.4,5
9.5,0.59,0.44,0.071,68.0,0.9992,0.63,9.5,5
9.9,0.54,0.45,0.071,40.0,0.9991,0.62,9.4,5
9.5,0.59,0.44,0.071,68.0,0.9992,0.63,9.5,5
9.9,0.54,0.45,0.071,40.0,0.9991,0.62,9.4,5
7.8,0.64,0.1,0.115,11.0,0.9984,0.69,10.1,7
7.3,0.67,0.05,0.107,20.0,0.9972,0.63,10.1,5
8.3,0.845,0.01,0.07,14.0,0.9967,0.58,11.0,4
8.7,0.48,0.3,0.066,28.0,0.9964,0.67,11.2,7
6.7,0.42,0.27,0.068,148.0,0.9948,0.57,11.3,6
10.7,0.43,0.39,0.106,32.0,0.9986,0.5,9.6,5
9.8,0.88,0.25,0.104,155.0,1.001,0.67,11.2,5
15.9,0.36,0.65,0.096,71.0,0.9976,0.84,14.9,5
9.4,0.33,0.59,0.079,30.0,0.9976,0.54,12.0,6
8.6,0.47,0.47,0.074,29.0,0.9979,0.46,9.5,5
9.7,0.55,0.17,0.087,53.0,1.0004,0.61,9.4,5
10.7,0.43,0.39,0.106,32.0,0.9986,0.5,9.6,5
12.0,0.5,0.59,0.073,42.0,0.998,0.68,10.5,7
7.2,0.52,0.07,0.074,20.0,0.9973,0.81,9.6,6
7.1,0.84,0.02,0.096,13.0,0.997,0.57,11.0,4
7.2,0.52,0.07,0.074,20.0,0.9973,0.81,9.6,6
7.5,0.42,0.31,0.08,42.0,0.9978,0.64,9.0,5
7.2,0.57,0.06,0.076,27.0,0.9972,0.7,9.6,6
10.1,0.28,0.46,0.05,13.0,0.9974,0.79,10.2,6
12.1,0.4,0.52,0.092,54.0,1.0,0.66,10.2,5
9.4,0.59,0.14,0.084,48.0,0.9981,0.56,9.7,5
8.3,0.49,0.36,0.222,16.0,0.998,0.6,9.5,6
11.3,0.34,0.45,0.0819999999999999,15.0,0.9988,0.66,9.2,6
10.0,0.73,0.43,0.059,31.0,0.9966,0.57,11.0,5
11.3,0.34,0.45,0.0819999999999999,15.0,0.9988,0.66,9.2,6
6.9,0.4,0.24,0.083,45.0,0.9959,0.58,10.0,5
8.2,0.73,0.21,0.074,13.0,0.9968,0.52,9.5,5
9.8,1.24,0.34,0.079,151.0,0.998,0.53,9.5,5
8.2,0.73,0.21,0.074,13.0,0.9968,0.52,9.5,5
10.8,0.4,0.41,0.084,17.0,0.9984,0.67,9.3,6
9.3,0.41,0.39,0.064,31.0,0.9984,0.65,10.2,5
10.8,0.4,0.41,0.084,17.0,0.9984,0.67,9.3,6
8.6,0.8,0.11,0.084,31.0,0.9979,0.48,9.9,5
8.3,0.78,0.1,0.081,87.0,0.9983,0.53,10.0,5
10.8,0.26,0.45,0.06,49.0,0.9972,0.54,9.6,5
13.3,0.43,0.58,0.07,40.0,1.0004,0.49,9.0,5
8.0,0.45,0.23,0.094,29.0,0.9962,0.49,10.2,6
8.5,0.46,0.31,0.078,58.0,0.998,0.54,9.8,5
8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3,5
9.8,0.98,0.32,0.078,152.0,0.998,0.48,9.4,5
8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3,5
7.1,0.65,0.18,0.07,40.0,0.997,0.6,9.1,5
9.1,0.64,0.23,0.095,38.0,0.9998,0.59,9.7,5
7.7,0.66,0.04,0.039,9.0,0.9962,0.47,9.4,5
8.1,0.38,0.48,0.157,17.0,0.9976,1.05,9.4,5
7.4,1.185,0.0,0.0969999999999999,14.0,0.9966,0.54,10.7,3
9.2,0.92,0.24,0.087,93.0,0.9998,0.54,9.8,5
8.6,0.49,0.51,0.422,62.0,0.9979,1.17,9.0,5
9.0,0.48,0.32,0.084,122.0,0.9984,0.62,9.4,5
9.0,0.47,0.31,0.084,125.0,0.9984,0.61,9.4,5
5.1,0.47,0.02,0.034,44.0,0.9921,0.62,12.8,6
7.0,0.65,0.02,0.066,25.0,0.9972,0.67,9.5,6
7.0,0.65,0.02,0.066,25.0,0.9972,0.67,9.5,6
9.4,0.615,0.28,0.087,72.0,1.0001,0.53,9.7,5
11.8,0.38,0.55,0.071,19.0,0.9986,0.62,10.8,6
10.6,1.02,0.43,0.076,88.0,0.9984,0.57,10.1,6
7.0,0.65,0.02,0.066,25.0,0.9972,0.67,9.5,6
7.0,0.64,0.02,0.067,23.0,0.997,0.67,9.4,6
7.5,0.38,0.48,0.073,84.0,0.9972,0.7,9.6,4
9.1,0.765,0.04,0.078,14.0,0.998,0.54,9.7,4
8.4,1.035,0.15,0.073,54.0,0.999,0.49,9.9,5
7.0,0.78,0.08,0.093,19.0,0.9956,0.47,10.0,5
7.4,0.49,0.19,0.077,37.0,0.9966,0.51,10.5,5
7.8,0.545,0.12,0.068,35.0,0.996,0.61,11.6,6
9.7,0.31,0.47,0.062,33.0,0.9983,0.66,10.0,6
10.6,1.025,0.43,0.08,84.0,0.9985,0.57,10.1,5
8.9,0.565,0.34,0.093,112.0,0.9998,0.61,9.5,5
8.7,0.69,0.0,0.084,33.0,0.9992,0.45,9.4,5
8.0,0.43,0.36,0.075,48.0,0.9976,0.46,9.4,5
9.9,0.74,0.28,0.078,77.0,0.998,0.51,9.8,5
7.2,0.49,0.18,0.069,34.0,0.9967,0.48,9.2,6
8.0,0.43,0.36,0.075,48.0,0.9976,0.46,9.4,5
7.6,0.46,0.11,0.079,49.0,0.9968,0.57,10.0,5
8.4,0.56,0.04,0.0819999999999999,22.0,0.9976,0.44,9.6,5
7.1,0.66,0.0,0.086,45.0,0.9976,0.54,9.5,5
8.4,0.56,0.04,0.0819999999999999,22.0,0.9976,0.44,9.6,5
8.9,0.48,0.24,0.094,106.0,0.9982,0.53,9.2,5
7.6,0.42,0.08,0.084,48.0,0.9968,0.59,10.0,5
7.1,0.31,0.3,0.053,127.0,0.9965,1.62,9.5,5
7.5,1.115,0.1,0.086,12.0,0.9958,0.6,11.2,4
9.0,0.66,0.17,0.077,13.0,0.9976,0.55,10.4,5
8.1,0.72,0.09,0.084,49.0,0.9994,0.72,11.1,6
6.4,0.57,0.02,0.067,11.0,0.997,0.68,9.5,5
6.4,0.57,0.02,0.067,11.0,0.997,0.68,9.5,5
6.4,0.865,0.03,0.071,58.0,0.995,0.49,12.7,6
9.5,0.55,0.66,0.387,37.0,0.9982,0.67,9.6,5
8.9,0.875,0.13,0.088,14.0,0.9994,0.52,11.5,5
7.3,0.835,0.03,0.092,19.0,0.9966,0.47,9.6,5
7.0,0.45,0.34,0.0819999999999999,72.0,0.998,0.6,9.5,5
7.7,0.56,0.2,0.075,39.0,0.9987,0.62,9.3,5
7.7,0.965,0.1,0.1119999999999999,22.0,0.9963,0.5,9.5,5
7.7,0.965,0.1,0.1119999999999999,22.0,0.9963,0.5,9.5,5
8.2,0.59,0.0,0.093,58.0,1.0002,0.65,9.3,6
9.0,0.46,0.23,0.092,104.0,0.9983,0.56,9.2,5
9.0,0.69,0.0,0.088,38.0,0.999,0.6,9.3,5
8.3,0.76,0.29,0.075,16.0,0.9965,0.68,11.5,6
9.2,0.53,0.24,0.078,139.0,0.99788,0.57,9.5,5
6.5,0.615,0.0,0.065,18.0,0.9972,0.65,9.2,5
11.6,0.41,0.58,0.096,101.0,1.00024,0.53,10.0,5
11.1,0.39,0.54,0.095,101.0,1.0001,0.51,9.5,5
7.3,0.51,0.18,0.07,28.0,0.99768,0.73,9.5,6
8.2,0.34,0.38,0.08,57.0,0.9978,0.47,9.0,6
8.6,0.33,0.4,0.083,68.0,0.99782,0.48,9.4,5
7.2,0.5,0.18,0.071,31.0,0.99761,0.72,9.6,6
7.3,0.51,0.18,0.07,28.0,0.99768,0.73,9.5,6
8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5
8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5
7.6,0.54,0.13,0.0969999999999999,66.0,0.99785,0.61,9.4,5
8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5
7.8,0.48,0.68,0.415,32.0,0.99656,1.06,9.1,6
7.8,0.91,0.07,0.0579999999999999,47.0,0.99525,0.43,10.7,6
6.3,0.98,0.01,0.057,33.0,0.99488,0.46,11.2,6
8.1,0.87,0.0,0.084,31.0,0.99656,0.5,9.8,5
8.1,0.87,0.0,0.084,31.0,0.99656,0.5,9.8,5
8.8,0.42,0.21,0.092,88.0,0.99823,0.52,9.2,5
9.0,0.58,0.25,0.075,104.0,0.99779,0.57,9.7,5
9.3,0.655,0.26,0.096,35.0,0.99738,0.42,9.6,5
8.8,0.7,0.0,0.069,19.0,0.99701,0.53,10.0,6
9.3,0.655,0.26,0.096,35.0,0.99738,0.42,9.6,5
9.1,0.68,0.11,0.093,44.0,0.99888,0.55,9.5,6
9.2,0.67,0.1,0.091,48.0,0.99888,0.54,9.5,6
8.8,0.59,0.18,0.089,74.0,0.99738,0.54,9.4,5
7.5,0.6,0.32,0.103,98.0,0.99938,0.62,9.5,5
7.1,0.59,0.02,0.0819999999999999,94.0,0.99744,0.53,9.7,6
7.9,0.72,0.01,0.076,32.0,0.99668,0.54,9.6,5
7.1,0.59,0.02,0.0819999999999999,94.0,0.99744,0.53,9.7,6
9.4,0.685,0.26,0.0819999999999999,143.0,0.9978,0.55,9.4,5
9.5,0.57,0.27,0.0819999999999999,144.0,0.99782,0.55,9.4,5
7.9,0.4,0.29,0.157,44.0,0.9973,0.92,9.5,6
7.9,0.4,0.3,0.157,45.0,0.99727,0.91,9.5,6
7.2,1.0,0.0,0.102,16.0,0.99586,0.46,10.0,5
6.9,0.765,0.18,0.243,48.0,0.99612,0.6,10.3,6
6.9,0.635,0.17,0.241,18.0,0.9961,0.59,10.3,6
8.3,0.43,0.3,0.079,34.0,0.99788,0.61,10.5,5
7.1,0.52,0.03,0.076,92.0,0.99745,0.6,9.8,5
7.0,0.57,0.0,0.19,45.0,0.99676,0.6,9.4,6
6.5,0.46,0.14,0.114,37.0,0.99732,0.65,9.8,5
9.0,0.82,0.05,0.081,96.0,0.99814,0.53,10.0,5
6.5,0.46,0.14,0.114,37.0,0.99732,0.65,9.8,5
7.1,0.59,0.01,0.077,85.0,0.99746,0.59,9.8,5
9.9,0.35,0.41,0.083,61.0,0.9982,0.5,9.5,5
9.9,0.35,0.41,0.083,61.0,0.9982,0.5,9.5,5
10.0,0.56,0.24,0.079,58.0,0.9991,0.56,10.1,6
10.0,0.56,0.24,0.079,58.0,0.9991,0.56,10.1,6
